id,acc,label,uri
0f5cd67e-045c-50f7-8b4f-93cf86bda13e,54665,RSBN1,https://www.ncbi.nlm.nih.gov/gene/54665
c5614fac-c46a-5fb4-b125-bb2bfc89dceb,56104,PCDHGB1,https://www.ncbi.nlm.nih.gov/gene/56104
5197f37f-c5f9-5c2f-8c19-cade3cb6cd56,128602,C20ORF85,https://www.ncbi.nlm.nih.gov/gene/128602
a2cc89a5-28b6-5701-88db-6632f7317b3c,54438,GFOD1,https://www.ncbi.nlm.nih.gov/gene/54438
7831eae5-ba48-58e6-8845-a1d90ef1c0a3,84958,SYTL1,https://www.ncbi.nlm.nih.gov/gene/84958
01751651-ef6b-5e08-b208-674a37ecb149,83931,STK40,https://www.ncbi.nlm.nih.gov/gene/83931
ad6fa8b4-76d2-5f93-8a11-9643b6c312c4,151295,SLC23A3,https://www.ncbi.nlm.nih.gov/gene/151295
f337c60f-fc8f-51a4-8353-de141637b614,57224,NHSL1,https://www.ncbi.nlm.nih.gov/gene/57224
2031f307-6fa6-59ab-9274-31d9fd7bf6d7,55211,DPPA4,https://www.ncbi.nlm.nih.gov/gene/55211
f196419c-9f33-504a-bb65-5c36f63b885e,8406,SRPX,https://www.ncbi.nlm.nih.gov/gene/8406
655ae6fc-23bc-50c5-b726-f852d0cc1b8b,10863,ADAM28,https://www.ncbi.nlm.nih.gov/gene/10863
acf6312f-37f0-546d-81bf-f3524ebe83f5,94240,EPSTI1,https://www.ncbi.nlm.nih.gov/gene/94240
d0145a53-24ab-5875-981f-4a40af0c8ccc,259217,HSPA12A,https://www.ncbi.nlm.nih.gov/gene/259217
958d0e55-0fe4-5ea8-be4f-8c79d110d590,644890,MEIG1,https://www.ncbi.nlm.nih.gov/gene/644890
331744c2-2e26-5377-86b8-b01b239e2d87,121355,GTSF1,https://www.ncbi.nlm.nih.gov/gene/121355
a6beee3e-a183-5302-a033-0125f0f6fff7,728343,NXF2B,https://www.ncbi.nlm.nih.gov/gene/728343
a221c063-44c6-5180-8cf0-64af8ace5e06,2802,GOLGA3,https://www.ncbi.nlm.nih.gov/gene/2802
d771b86d-6499-5583-a9e5-7317e700fb30,157869,SBSPON,https://www.ncbi.nlm.nih.gov/gene/157869
b5b34415-ec84-510a-ba1b-24e16e494ce6,83953,FCAMR,https://www.ncbi.nlm.nih.gov/gene/83953
d697ec04-7b48-5662-bc9c-95e2baace60d,94235,GNG8,https://www.ncbi.nlm.nih.gov/gene/94235
7101ff37-67d0-5c1d-a892-c66163d5a734,161003,STOML3,https://www.ncbi.nlm.nih.gov/gene/161003
9214f027-bf83-5581-bcf3-7efa1a41fec7,79703,C11ORF80,https://www.ncbi.nlm.nih.gov/gene/79703
d17f77ed-21cc-5caf-b7f3-4bb8e80ff7e9,55847,CISD1,https://www.ncbi.nlm.nih.gov/gene/55847
406e0049-0bdf-5f73-baaf-1f5f0f50e277,100526740,ATP5J2-PTCD1,https://www.ncbi.nlm.nih.gov/gene/100526740
6b941bf3-e49f-514f-a408-30235cdae02e,25874,MPC2,https://www.ncbi.nlm.nih.gov/gene/25874
ed70eecc-cdbe-53d9-a709-7a1d8ae1c0e4,79937,CNTNAP3,https://www.ncbi.nlm.nih.gov/gene/79937
453aeaf5-cfaf-5032-8b09-05fe35038a61,219770,GJD4,https://www.ncbi.nlm.nih.gov/gene/219770
d8615b41-9085-5e11-83f9-329b96205902,729359,PLIN4,https://www.ncbi.nlm.nih.gov/gene/729359
c9729dfc-4d04-5905-951f-7c8c441c5ce3,345079,SOWAHB,https://www.ncbi.nlm.nih.gov/gene/345079
1fb0fdad-af77-5ca7-a072-43417b314eb3,55799,CACNA2D3,https://www.ncbi.nlm.nih.gov/gene/55799
36447bba-8d2c-5b05-baee-79eca4ae85fe,81544,GDPD5,https://www.ncbi.nlm.nih.gov/gene/81544
aff9e920-45fc-5e51-bbe5-2a6614803472,54793,KCTD9,https://www.ncbi.nlm.nih.gov/gene/54793
436b23f7-0072-5e99-8fb3-570b2247e5d7,283297,OR10A4,https://www.ncbi.nlm.nih.gov/gene/283297
0ad4c461-fbe2-52d0-bfb3-da24f15d4127,84063,KIRREL2,https://www.ncbi.nlm.nih.gov/gene/84063
6b9926bc-a44a-54c6-90bd-454a8f7a097a,5137,PDE1C,https://www.ncbi.nlm.nih.gov/gene/5137
13c934d8-87dd-5f44-802e-c82c38876c3a,9038,TAAR5,https://www.ncbi.nlm.nih.gov/gene/9038
06e72ea7-2647-5292-bd07-ab8e5d4d158d,390748,PABPN1L,https://www.ncbi.nlm.nih.gov/gene/390748
8707fed0-1ffe-51b1-9500-de36a82db90b,100526761,CCDC169-SOHLH2,https://www.ncbi.nlm.nih.gov/gene/100526761
6038f3d0-0ddb-5fa0-9ad9-6fb91ca81282,729330,OC90,https://www.ncbi.nlm.nih.gov/gene/729330
6c0a2a9e-4b91-5901-b1a8-0c2fc3a96975,49855,SCAPER,https://www.ncbi.nlm.nih.gov/gene/49855
faf3b795-e29d-564f-af8e-8541e4b0a3b7,1381,CRABP1,https://www.ncbi.nlm.nih.gov/gene/1381
16f963b4-2d4f-5cd7-a03d-4cef00f89454,27253,PCDH17,https://www.ncbi.nlm.nih.gov/gene/27253
a3ba877d-3f61-542c-bdad-df4bef4f8bc4,10745,PHTF1,https://www.ncbi.nlm.nih.gov/gene/10745
d1658313-b247-545c-aaa3-bf5ed16936c3,375318,AQP12A,https://www.ncbi.nlm.nih.gov/gene/375318
5ffad678-3e13-5e26-a40a-8f66fc0023cf,387597,ILDR2,https://www.ncbi.nlm.nih.gov/gene/387597
0d388fd9-efc0-5995-87c9-58e8c77ce630,6747,SSR3,https://www.ncbi.nlm.nih.gov/gene/6747
aa3cea74-1e56-5a2e-8249-56fbf8a8641b,89886,SLAMF9,https://www.ncbi.nlm.nih.gov/gene/89886
a6cafcf4-5b2d-5156-a812-cf2cdbeca8c0,55243,KIRREL1,https://www.ncbi.nlm.nih.gov/gene/55243
b4c3a3ec-61fd-55d1-a624-a48a0a493f3f,9248,GPR50,https://www.ncbi.nlm.nih.gov/gene/9248
2126c606-5cd1-5acf-a2dc-a71afcc7fd64,83992,CTTNBP2,https://www.ncbi.nlm.nih.gov/gene/83992
57c64603-23c7-5788-a9d7-879e335aff00,7441,VPREB1,https://www.ncbi.nlm.nih.gov/gene/7441
561ec338-4cdd-53d1-a9e9-cf87ae6a331d,59271,EVA1C,https://www.ncbi.nlm.nih.gov/gene/59271
1550de43-4a4c-5f0a-84bd-5e40e0e41d1f,80243,PREX2,https://www.ncbi.nlm.nih.gov/gene/80243
58efe937-6e4b-52d5-8349-0eb6f4cd67b2,29922,NME7,https://www.ncbi.nlm.nih.gov/gene/29922
0602616d-c329-5245-96b8-8cfb5c1bf725,137695,TMEM68,https://www.ncbi.nlm.nih.gov/gene/137695
96551c0e-de75-5b0e-977b-b468f1323a1b,84645,C22ORF23,https://www.ncbi.nlm.nih.gov/gene/84645
ccea36b2-ddee-574e-aedb-247d917d3dc5,389073,C2ORF80,https://www.ncbi.nlm.nih.gov/gene/389073
